                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9714,                 1.6792,                 1.7114,                0.51022,                0.30531,                0.38675,                 0.1597,                 1.8987,                 1.6076,                 1.7081,             0.00017426,             0.00017426,             0.00017426
                      2,                 1.9357,                 1.5666,                   1.68,                0.44776,                0.32794,                0.37917,                0.16385,                 1.9294,                 1.7725,                 1.7425,             0.00033229,             0.00033229,             0.00033229
                      3,                 1.9459,                  1.544,                 1.6906,                0.35742,                 0.3805,                0.34367,                0.14984,                 1.9026,                 1.5878,                 1.7273,             0.00047296,             0.00047296,             0.00047296
                      4,                 1.9193,                 1.4895,                  1.667,                0.37696,                0.34167,                0.35803,                0.14256,                 1.9046,                 1.5383,                 1.7259,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.9099,                 1.4354,                 1.6598,                0.35691,                0.34381,                0.35856,                0.15384,                 1.9448,                 1.6139,                  1.751,             0.00042185,             0.00042185,             0.00042185
                      6,                 1.8953,                  1.372,                 1.6526,                0.64156,                0.34721,                0.46695,                0.20925,                 1.9427,                 1.5311,                 1.7413,             0.00039581,             0.00039581,             0.00039581
                      7,                 1.8661,                 1.3309,                 1.6194,                0.36047,                0.36019,                0.36969,                0.17279,                 1.7908,                 1.4973,                 1.6323,             0.00036978,             0.00036978,             0.00036978
                      8,                 1.8456,                 1.2925,                  1.612,                 0.4516,                0.37507,                0.39536,                 0.1734,                 1.9025,                 1.4422,                 1.7375,             0.00034374,             0.00034374,             0.00034374
                      9,                 1.8267,                 1.2306,                 1.6053,                0.56096,                0.41254,                0.47354,                0.20222,                 1.8668,                 1.3653,                 1.6942,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.8127,                 1.2016,                 1.5982,                0.52746,                0.48436,                 0.5033,                0.23105,                  1.918,                 1.3896,                 1.7277,             0.00029167,             0.00029167,             0.00029167
                     11,                  1.731,                0.97699,                 1.5535,                0.53084,                0.42246,                0.47485,                0.22552,                 1.8586,                 1.4608,                  1.675,             0.00026563,             0.00026563,             0.00026563
                     12,                   1.72,                0.94345,                 1.5555,                0.49257,                0.38896,                0.44392,                0.20974,                 1.8934,                 1.4036,                 1.7052,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.6992,                 0.9164,                 1.5394,                0.54937,                0.44454,                0.49944,                0.24091,                 1.8547,                 1.4504,                 1.6809,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.6908,                0.88978,                  1.523,                0.62874,                0.44523,                 0.5126,                0.24813,                 1.7918,                 1.3259,                 1.6353,             0.00018752,             0.00018752,             0.00018752
                     15,                 1.6571,                0.85367,                  1.508,                0.51309,                0.42588,                0.48225,                 0.2353,                 1.8722,                 1.4078,                 1.7257,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.6471,                0.82125,                 1.4997,                0.60308,                0.42522,                0.50265,                0.24869,                  1.814,                 1.4065,                 1.6591,             0.00013544,             0.00013544,             0.00013544
                     17,                 1.6338,                0.79832,                 1.4775,                0.57375,                0.37147,                 0.4438,                0.21582,                 1.8433,                 1.4188,                  1.686,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.6189,                0.77621,                  1.474,                0.64098,                 0.4167,                0.49226,                0.24122,                 1.8213,                 1.4842,                 1.6667,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.5944,                0.75913,                 1.4628,                0.64206,                 0.4497,                0.52154,                 0.2573,                 1.8228,                 1.4711,                 1.6624,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                 1.5821,                0.73602,                 1.4575,                0.70774,                0.44626,                0.52971,                0.26396,                 1.8369,                 1.4429,                 1.6827,             3.1297e-05,             3.1297e-05,             3.1297e-05
